|match_id|player|possession_team|shot_end_location|possession_team_id|location|minute|location_x|location_y|z|x|y|match|competition_stage|score
33|7537|Harry Kane|England|[120.0, 37.0, 1.6]|768.0|[116.0, 36.0]|90.0|116.0|36.0|120.0|37.0|1.6|Tunisia vs England|Group Stage|1-2
34|7580|Antoine Griezmann|France|[120.0, 38.3, 0.2]|771.0|[108.0, 40.0]|12.0|108.0|40.0|120.0|38.3|0.2|France vs Argentina|Round of 16|4-3
35|7580|Ángel Fabián Di María Hernández|Argentina|[120.0, 44.0, 1.7]|779.0|[90.0, 38.0]|40.0|90.0|38.0|120.0|44.0|1.7|France vs Argentina|Round of 16|4-3
36|7580|Gabriel Iván Mercado|Argentina|[119.0, 43.4, 0.4]|779.0|[111.0, 42.0]|47.0|111.0|42.0|119.0|43.4|0.4|France vs Argentina|Round of 16|4-3
37|7580|Benjamin Pavard|France|[120.0, 36.2, 2.0]|771.0|[100.0, 56.0]|56.0|100.0|56.0|120.0|36.2|2.0|France vs Argentina|Round of 16|4-3
38|7580|Kylian Mbappé Lottin|France|[120.0, 39.5, 0.9]|771.0|[112.0, 30.0]|63.0|112.0|30.0|120.0|39.5|0.9|France vs Argentina|Round of 16|4-3
39|7580|Kylian Mbappé Lottin|France|[120.0, 36.2, 0.2]|771.0|[107.0, 51.0]|67.0|107.0|51.0|120.0|36.2|0.2|France vs Argentina|Round of 16|4-3
40|7580|Sergio Leonel Agüero del Castillo|Argentina|[119.0, 36.4, 0.9]|779.0|[112.0, 37.0]|92.0|112.0|37.0|119.0|36.4|0.9|France vs Argentina|Round of 16|4-3
41|8650|Kevin De Bruyne|Belgium|[120.0, 36.6, 0.6]|782.0|[102.0, 54.0]|30.0|102.0|54.0|120.0|36.6|0.6|Brazil vs Belgium|Quarter-finals|1-2
42|8650|Renato Soares de Oliveira Augusto|Brazil|[120.0, 43.8, 0.5]|781.0|[111.0, 42.0]|75.0|111.0|42.0|120.0|43.8|0.5|Brazil vs Belgium|Quarter-finals|1-2
43|7581|Mathias Jattah-Njie Jørgensen|Denmark|[119.0, 39.7, 0.2]|776.0|[115.0, 34.0]|0.0|115.0|34.0|119.0|39.7|0.2|Croatia vs Denmark|Round of 16|1-1
44|7581|Mario Mandžukić|Croatia|[120.0, 36.4, 1.1]|785.0|[112.0, 36.0]|3.0|112.0|36.0|120.0|36.4|1.1|Croatia vs Denmark|Round of 16|1-1
45|7581|Simon Thorup Kjær|Denmark|[119.0, 42.8, 2.5]|776.0|[108.0, 40.0]|121.0|108.0|40.0|119.0|42.8|2.5|Croatia vs Denmark|Round of 16|1-1
46|7581|Andrej Kramarić|Croatia|[120.0, 37.0, 0.2]|785.0|[108.0, 40.0]|122.0|108.0|40.0|120.0|37.0|0.2|Croatia vs Denmark|Round of 16|1-1
47|7581|Michael Krohn-Dehli|Denmark|[120.0, 37.0, 0.2]|776.0|[108.0, 40.0]|123.0|108.0|40.0|120.0|37.0|0.2|Croatia vs Denmark|Round of 16|1-1
48|7581|Luka Modrić|Croatia|[120.0, 40.3, 0.2]|785.0|[108.0, 40.0]|124.0|108.0|40.0|120.0|40.3|0.2|Croatia vs Denmark|Round of 16|1-1
49|7581|Ivan Rakitić|Croatia|[120.0, 37.2, 0.3]|785.0|[108.0, 40.0]|128.0|108.0|40.0|120.0|37.2|0.3|Croatia vs Denmark|Round of 16|1-1
50|7549|Ahmed Musa|Nigeria|[120.0, 41.5, 2.2]|775.0|[112.0, 46.0]|48.0|112.0|46.0|120.0|41.5|2.2|Nigeria vs Iceland|Group Stage|2-0
51|7549|Ahmed Musa|Nigeria|[120.0, 43.4, 1.8]|775.0|[113.0, 41.0]|74.0|113.0|41.0|120.0|43.4|1.8|Nigeria vs Iceland|Group Stage|2-0
52|7529|Luka Modrić|Croatia|[120.0, 36.2, 0.3]|785.0|[109.0, 41.0]|70.0|109.0|41.0|120.0|36.2|0.3|Croatia vs Nigeria|Group Stage|2-0
53|7534|Hirving Rodrigo Lozano Bahena|Mexico|[120.0, 37.0, 0.5]|794.0|[109.0, 32.0]|34.0|109.0|32.0|120.0|37.0|0.5|Germany vs Mexico|Group Stage|0-1
54|7562|André Martín Carrillo Díaz|Peru|[120.0, 36.4, 0.5]|784.0|[104.0, 53.0]|17.0|104.0|53.0|120.0|36.4|0.5|Australia vs Peru|Group Stage|0-2
55|7562|José Paolo Guerrero Gonzáles|Peru|[120.0, 43.6, 1.2]|784.0|[111.0, 36.0]|49.0|111.0|36.0|120.0|43.6|1.2|Australia vs Peru|Group Stage|0-2
56|7571|Yerry Fernando Mina González|Colombia|[120.0, 41.5, 1.9]|769.0|[114.0, 47.0]|73.0|114.0|47.0|120.0|41.5|1.9|Senegal vs Colombia|Group Stage|0-1
57|7569|Fakhreddine Ben Youssef|Tunisia|[120.0, 38.3, 1.6]|777.0|[114.0, 40.0]|50.0|114.0|40.0|120.0|38.3|1.6|Panama vs Tunisia|Group Stage|1-2
58|7569|Wahbi Khazri|Tunisia|[120.0, 40.3, 2.1]|777.0|[117.0, 43.0]|65.0|117.0|43.0|120.0|40.3|2.1|Panama vs Tunisia|Group Stage|1-2
59|7568|Blerim Džemaili|Switzerland|[120.0, 40.5, 1.1]|773.0|[113.0, 43.0]|30.0|113.0|43.0|120.0|40.5|1.1|Switzerland vs Costa Rica|Group Stage|2-2
60|7568|Kendall Jamaal Waston Manley|Costa Rica|[119.0, 37.2, 1.5]|795.0|[115.0, 42.0]|55.0|115.0|42.0|119.0|37.2|1.5|Switzerland vs Costa Rica|Group Stage|2-2
61|7568|Josip Drmic|Switzerland|[120.0, 43.0, 0.2]|773.0|[106.0, 34.0]|87.0|106.0|34.0|120.0|43.0|0.2|Switzerland vs Costa Rica|Group Stage|2-2
